Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Document_ID,Dominant_Topic
0.06351355,0.058351047,0.014300508,0.31880718,0.39914292,0.015844924,0.036375325,0.059418518,0.016449269,0.017796718,0,4
0.019491354,0.55011994,0.01897201,0.05850791,0.1317138,0.037203427,0.0546168,0.07282296,0.03010952,0.02644227,1,1
0.01320042,0.025362715,0.015688168,0.012655155,0.8680893,0.012826573,0.012962237,0.012571034,0.012849203,0.013795158,2,4
0.10044684,0.09186638,0.12974718,0.070421346,0.30857816,0.122483715,0.04593035,0.041907102,0.04539575,0.04322318,3,4
0.026415933,0.070962965,0.026753845,0.038457885,0.02531243,0.2198646,0.1684711,0.13739802,0.26059934,0.025763813,4,8
0.09196725,0.028387636,0.48543012,0.01999561,0.09656082,0.15000977,0.003791891,0.04591666,0.013891056,0.0640492,5,2
0.06639232,0.051751062,0.250739,0.077111326,0.04795014,0.033152197,0.0051935385,0.005379189,0.11557487,0.34675637,6,9
0.27546915,0.017028157,0.016864538,0.017537102,0.01688972,0.3397706,0.017450303,0.26378942,0.016798342,0.0184027,7,5
0.014103792,0.06649843,0.013589782,0.074740015,0.030002058,0.027677376,0.41125417,0.013218858,0.14184995,0.20706558,8,6
0.041972,0.046648875,0.042034257,0.046859305,0.047290083,0.04227595,0.27211604,0.042049225,0.3736391,0.04511516,9,8
0.028897498,0.24776235,0.02109452,0.022098755,0.35324338,0.027985327,0.022286568,0.022492075,0.08552027,0.16861928,10,4
0.08334285,0.22695972,0.08334385,0.09196234,0.08341123,0.08340855,0.08906722,0.08333792,0.09182429,0.08334207,11,1
0.044554446,0.03605707,0.34332997,0.121801384,0.0783231,0.042882312,0.14390965,0.037287034,0.036565043,0.11529001,12,2
0.07398124,0.11274621,0.067518316,0.018092494,0.63619274,0.01783434,0.02078517,0.017579988,0.017876891,0.01739265,13,4
0.004172488,0.0038487501,0.0038185688,0.0035653492,0.0068384684,0.0038406877,0.011216983,0.0036659408,0.8586702,0.10036253,14,8
0.06069596,0.12256169,0.009453176,0.083222225,0.4002224,0.14456345,0.012111224,0.115827404,0.010548852,0.04079361,15,4
0.05924094,0.05045949,0.053971596,0.05412499,0.20761977,0.068338856,0.063080944,0.05612272,0.2333514,0.1536893,16,8
0.04657098,0.222123,0.01542307,0.01715469,0.16707252,0.43560708,0.040977184,0.015334714,0.020475686,0.01926109,17,5
0.11873826,0.18779984,0.0027341458,0.012563413,0.01821801,0.47664803,0.0015971789,0.1539246,0.025191532,0.0025850118,18,5
0.025195684,0.071012564,0.16120479,0.025444612,0.025130574,0.045702208,0.026012257,0.5603715,0.027600612,0.032325163,19,7
0.057058368,0.28494525,0.03995015,0.04088199,0.038806807,0.37721032,0.03997123,0.03947567,0.03923054,0.04246969,20,5
0.03836128,0.40473384,0.037108008,0.0395394,0.1957674,0.044623826,0.0376047,0.047050994,0.049633387,0.105577156,21,1
0.2797609,0.06580301,0.06293407,0.022414189,0.095919654,0.2919192,0.02474913,0.039179448,0.021374483,0.095945954,22,5
0.030080114,0.69358265,0.020855853,0.023580346,0.062021703,0.024627823,0.025087206,0.021503266,0.024407705,0.074253306,23,1
0.06254738,0.06256834,0.062569134,0.06619318,0.06299486,0.06253082,0.09002673,0.062566966,0.40378067,0.06422191,24,8
0.123882286,0.020822,0.042351156,0.015935175,0.5486621,0.068439975,0.092939354,0.016008377,0.051743604,0.019215966,25,4
0.01853167,0.016876291,0.014916396,0.020849567,0.016977236,0.044347387,0.021342656,0.08081973,0.020422969,0.74491614,26,9
0.055999737,0.2739869,0.08620567,0.05624543,0.05569091,0.23929907,0.055874117,0.060732313,0.05765521,0.058310598,27,1
0.06264952,0.30662966,0.18448666,0.065682225,0.062605366,0.062627986,0.06460016,0.06269824,0.06537805,0.06264215,28,1
0.17724366,0.1382178,0.055790532,0.050330114,0.30651408,0.058092434,0.06301992,0.050201077,0.050127905,0.050462462,29,4
0.12737052,0.25244555,0.03794183,0.033949092,0.054487005,0.2800184,0.03400159,0.04969394,0.034274902,0.095817134,30,5
0.31759432,0.11201107,0.074100666,0.010871991,0.39569557,0.010846774,0.0117204385,0.043599088,0.010849025,0.012711111,31,4
0.04199729,0.009785139,0.0084322905,0.008575529,0.8870943,0.007994051,0.011015464,0.007984343,0.008634282,0.008487318,32,4
0.045659754,0.04565202,0.13663891,0.045702383,0.060268287,0.04627585,0.3902544,0.04592723,0.13680664,0.046814483,33,6
0.006230867,0.017869774,0.0062241945,0.8898138,0.006596257,0.0154212825,0.008580455,0.0144604305,0.026496513,0.0083064465,34,3
0.32409033,0.029074939,0.014884777,0.089651994,0.39448297,0.049169637,0.015403481,0.04276328,0.016035091,0.024443464,35,4
0.050117847,0.14922142,0.08906375,0.05009018,0.25386313,0.09387467,0.15658599,0.050080195,0.050323904,0.056778952,36,4
0.15266028,0.006569854,0.07171858,0.114944085,0.066487126,0.022109525,0.0071266894,0.0058514145,0.072374076,0.48015842,37,9
